#P: 16
#M: 4
#alpha: 0.01
#gamma: 1.0
#n_episodes: 2000000
#K: 1
#Baseline: None
#m: 524288
#Nodes: ['M0', 'M1', 'M2', 'M3']
#Processors/Node: [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3]
#Reward_type: self
#StateRep: Simple
#StartTime: 1605014771.657723
# 
# e  	  J  	  t  	  T  	 n_intra 	 n_inter 	 n_errors 
#--- 	 --- 	 --- 	 --- 	 ------- 	 ------- 	 -------- 
1 	 -469.8804016113281 	 1605014771.675307 	 1 	 4 	 11 	 10
2 	 -328.2449645996094 	 1605014771.682004 	 1 	 4 	 11 	 4
3 	 -403.1697082519531 	 1605014771.687244 	 1 	 3 	 12 	 6
4 	 -306.7547607421875 	 1605014771.692352 	 1 	 5 	 10 	 4
5 	 -336.6007080078125 	 1605014771.6973271 	 1 	 2 	 13 	 2
6 	 -248.23304748535156 	 1605014771.702223 	 1 	 6 	 9 	 2
7 	 -337.137451171875 	 1605014771.707073 	 1 	 4 	 11 	 4
8 	 -346.62445068359375 	 1605014771.711997 	 1 	 5 	 10 	 6
9 	 -447.28973388671875 	 1605014771.716747 	 1 	 3 	 12 	 8
10 	 -333.985595703125 	 1605014771.721502 	 1 	 2 	 13 	 2
11 	 -352.4862976074219 	 1605014771.726448 	 1 	 8 	 7 	 10
12 	 -380.8087158203125 	 1605014771.731253 	 1 	 6 	 9 	 8
13 	 -331.0823974609375 	 1605014771.735897 	 1 	 4 	 11 	 4
14 	 -394.4735107421875 	 1605014771.7405708 	 1 	 3 	 12 	 6
15 	 -397.60711669921875 	 1605014771.7453718 	 1 	 4 	 11 	 8
16 	 -383.1754150390625 	 1605014771.7502358 	 1 	 4 	 11 	 6
17 	 -284.6685791015625 	 1605014771.754967 	 1 	 4 	 11 	 2
18 	 -326.1939697265625 	 1605014771.760164 	 1 	 6 	 9 	 6
19 	 -387.1374206542969 	 1605014771.767352 	 1 	 4 	 11 	 8
20 	 -472.21502685546875 	 1605014771.771942 	 1 	 0 	 15 	 6
21 	 -400.1119079589844 	 1605014771.777139 	 1 	 2 	 13 	 4
22 	 -363.19921875 	 1605014771.782609 	 1 	 6 	 9 	 8
23 	 -369.05377197265625 	 1605014771.787149 	 1 	 4 	 11 	 6
24 	 -486.0186767578125 	 1605014771.7919638 	 1 	 2 	 13 	 8
25 	 -378.9386291503906 	 1605014771.79651 	 1 	 2 	 13 	 4
26 	 -362.12542724609375 	 1605014771.800996 	 1 	 2 	 13 	 4
27 	 -346.16998291015625 	 1605014771.805429 	 1 	 3 	 12 	 4
28 	 -335.27008056640625 	 1605014771.8099232 	 1 	 4 	 11 	 4
29 	 -444.3322448730469 	 1605014771.8146298 	 1 	 2 	 13 	 8
30 	 -313.3351135253906 	 1605014771.819123 	 1 	 8 	 7 	 8
31 	 -398.5569763183594 	 1605014771.8235571 	 1 	 2 	 13 	 6
32 	 -381.8336181640625 	 1605014771.828066 	 1 	 2 	 13 	 4
33 	 -356.1522216796875 	 1605014771.8325162 	 1 	 3 	 12 	 4
34 	 -350.60528564453125 	 1605014771.836957 	 1 	 6 	 9 	 8
35 	 -318.02557373046875 	 1605014771.8416462 	 1 	 5 	 10 	 4
36 	 -357.1823425292969 	 1605014771.846276 	 1 	 3 	 12 	 4
37 	 -315.5894775390625 	 1605014771.850891 	 1 	 6 	 9 	 6
38 	 -198.51742553710938 	 1605014771.855467 	 1 	 8 	 7 	 2
39 	 -457.54302978515625 	 1605014771.8601542 	 1 	 2 	 13 	 8
40 	 -365.4010009765625 	 1605014771.8647091 	 1 	 7 	 8 	 8
41 	 -328.83160400390625 	 1605014771.869264 	 1 	 6 	 9 	 6
42 	 -312.5743408203125 	 1605014771.8739681 	 1 	 5 	 10 	 4
43 	 -386.43212890625 	 1605014771.87867 	 1 	 3 	 12 	 6
44 	 -331.8813171386719 	 1605014771.8833642 	 1 	 8 	 7 	 10
45 	 -415.365234375 	 1605014771.888009 	 1 	 1 	 14 	 4
46 	 -421.29034423828125 	 1605014771.89277 	 1 	 3 	 12 	 8
47 	 -357.0685729980469 	 1605014771.897422 	 1 	 2 	 13 	 4
48 	 -332.9615783691406 	 1605014771.90207 	 1 	 4 	 11 	 6
49 	 -348.1220397949219 	 1605014771.906812 	 1 	 4 	 11 	 6
50 	 -382.4036865234375 	 1605014771.9116318 	 1 	 3 	 12 	 6
51 	 -371.1306457519531 	 1605014771.916102 	 1 	 3 	 12 	 8
52 	 -411.733154296875 	 1605014771.9205399 	 1 	 1 	 14 	 8
53 	 -377.49822998046875 	 1605014771.92567 	 1 	 6 	 9 	 14
54 	 -412.4190368652344 	 1605014771.9302568 	 1 	 2 	 13 	 8
55 	 -360.9939880371094 	 1605014771.9349382 	 1 	 2 	 13 	 4
56 	 -452.8778076171875 	 1605014771.939529 	 1 	 3 	 12 	 10
57 	 -460.500244140625 	 1605014771.944305 	 1 	 3 	 12 	 12
58 	 -365.0334777832031 	 1605014771.949505 	 1 	 4 	 11 	 8
59 	 -351.9775390625 	 1605014771.953977 	 1 	 5 	 10 	 8
60 	 -318.6420593261719 	 1605014771.958396 	 1 	 6 	 9 	 6
61 	 -322.6429443359375 	 1605014771.9630232 	 1 	 6 	 9 	 4
62 	 -360.551025390625 	 1605014771.967496 	 1 	 6 	 9 	 6
63 	 -353.44158935546875 	 1605014771.972067 	 1 	 4 	 11 	 8
64 	 -335.1285705566406 	 1605014771.976681 	 1 	 5 	 10 	 8
65 	 -417.3699035644531 	 1605014771.981195 	 1 	 2 	 13 	 6
66 	 -374.251953125 	 1605014771.985707 	 1 	 3 	 12 	 8
67 	 -413.6191101074219 	 1605014771.990199 	 1 	 2 	 13 	 6
68 	 -360.7390441894531 	 1605014771.995467 	 1 	 7 	 8 	 12
69 	 -367.5131530761719 	 1605014771.999949 	 1 	 4 	 11 	 8
70 	 -404.588134765625 	 1605014772.004355 	 1 	 4 	 11 	 8
71 	 -349.7696228027344 	 1605014772.0087838 	 1 	 6 	 9 	 12
72 	 -401.8331298828125 	 1605014772.013222 	 1 	 4 	 11 	 8
73 	 -313.7767028808594 	 1605014772.01766 	 1 	 7 	 8 	 8
74 	 -396.6419982910156 	 1605014772.022105 	 1 	 3 	 12 	 8
75 	 -397.9383239746094 	 1605014772.0268018 	 1 	 3 	 12 	 6
76 	 -339.7733154296875 	 1605014772.031304 	 1 	 4 	 11 	 6
77 	 -325.3887023925781 	 1605014772.0357912 	 1 	 5 	 10 	 8
78 	 -313.2322998046875 	 1605014772.0402932 	 1 	 6 	 9 	 8
79 	 -341.99981689453125 	 1605014772.0448189 	 1 	 5 	 10 	 8
80 	 -302.39141845703125 	 1605014772.049495 	 1 	 6 	 9 	 6
81 	 -394.5895080566406 	 1605014772.054064 	 1 	 5 	 10 	 10
82 	 -321.3418884277344 	 1605014772.0586948 	 1 	 3 	 12 	 2
83 	 -320.3695983886719 	 1605014772.0631602 	 1 	 6 	 9 	 8
84 	 -365.0953369140625 	 1605014772.0675452 	 1 	 6 	 9 	 10
85 	 -440.295166015625 	 1605014772.071934 	 1 	 4 	 11 	 10
86 	 -382.75653076171875 	 1605014772.076361 	 1 	 3 	 12 	 8
87 	 -364.15228271484375 	 1605014772.080835 	 1 	 3 	 12 	 4
88 	 -370.92132568359375 	 1605014772.085311 	 1 	 3 	 12 	 6
89 	 -401.2874755859375 	 1605014772.089706 	 1 	 0 	 15 	 2
90 	 -404.83624267578125 	 1605014772.0941901 	 1 	 2 	 13 	 6
91 	 -328.870361328125 	 1605014772.098597 	 1 	 5 	 10 	 6
92 	 -350.421142578125 	 1605014772.103136 	 1 	 2 	 13 	 2
93 	 -414.0071105957031 	 1605014772.107585 	 1 	 2 	 13 	 6
94 	 -410.6744384765625 	 1605014772.111994 	 1 	 4 	 11 	 10
95 	 -450.0271911621094 	 1605014772.116384 	 1 	 3 	 12 	 10
96 	 -374.8320007324219 	 1605014772.120783 	 1 	 4 	 11 	 6
97 	 -375.53680419921875 	 1605014772.125403 	 1 	 3 	 12 	 4
98 	 -348.03271484375 	 1605014772.129888 	 1 	 3 	 12 	 4
99 	 -347.6484069824219 	 1605014772.134308 	 1 	 3 	 12 	 4
100 	 -375.4144287109375 	 1605014772.1387992 	 1 	 6 	 9 	 8
101 	 -401.1751403808594 	 1605014772.1432478 	 1 	 4 	 11 	 10
102 	 -388.38958740234375 	 1605014772.147702 	 1 	 7 	 8 	 10
103 	 -414.5543212890625 	 1605014772.152131 	 1 	 5 	 10 	 10
104 	 -278.10369873046875 	 1605014772.156766 	 1 	 5 	 10 	 2
105 	 -395.0341796875 	 1605014772.161269 	 1 	 5 	 10 	 10
106 	 -367.2741394042969 	 1605014772.1656919 	 1 	 7 	 8 	 10
107 	 -331.12530517578125 	 1605014772.170136 	 1 	 5 	 10 	 6
108 	 -372.57647705078125 	 1605014772.174697 	 1 	 4 	 11 	 6
109 	 -359.1018981933594 	 1605014772.1792698 	 1 	 3 	 12 	 4
110 	 -366.20428466796875 	 1605014772.183712 	 1 	 4 	 11 	 6
111 	 -400.6910400390625 	 1605014772.188152 	 1 	 5 	 10 	 6
112 	 -350.7448425292969 	 1605014772.1926742 	 1 	 6 	 9 	 8
113 	 -328.5648498535156 	 1605014772.1971252 	 1 	 6 	 9 	 6
114 	 -396.6094055175781 	 1605014772.2016199 	 1 	 3 	 12 	 8
115 	 -355.42724609375 	 1605014772.206217 	 1 	 4 	 11 	 6
116 	 -406.1810607910156 	 1605014772.210724 	 1 	 3 	 12 	 8
117 	 -371.2262878417969 	 1605014772.21535 	 1 	 4 	 11 	 6
118 	 -374.7239685058594 	 1605014772.2199879 	 1 	 6 	 9 	 8
119 	 -335.5091247558594 	 1605014772.225256 	 1 	 5 	 10 	 6
120 	 -323.7389831542969 	 1605014772.23013 	 1 	 5 	 10 	 6
121 	 -336.464111328125 	 1605014772.234726 	 1 	 5 	 10 	 6
122 	 -309.16522216796875 	 1605014772.239427 	 1 	 6 	 9 	 6
123 	 -437.36785888671875 	 1605014772.244247 	 1 	 2 	 13 	 8
124 	 -404.0572814941406 	 1605014772.2488582 	 1 	 3 	 12 	 6
125 	 -316.3640441894531 	 1605014772.2536561 	 1 	 5 	 10 	 4
126 	 -336.7000732421875 	 1605014772.258949 	 1 	 5 	 10 	 6
127 	 -340.9474182128906 	 1605014772.263752 	 1 	 9 	 6 	 12
128 	 -422.0246887207031 	 1605014772.268498 	 1 	 0 	 15 	 4
129 	 -415.7371826171875 	 1605014772.276041 	 1 	 6 	 9 	 10
130 	 -359.68170166015625 	 1605014772.280662 	 1 	 4 	 11 	 8
131 	 -325.6257019042969 	 1605014772.285457 	 1 	 6 	 9 	 6
132 	 -385.9954833984375 	 1605014772.29002 	 1 	 4 	 11 	 6
133 	 -400.99517822265625 	 1605014772.294888 	 1 	 7 	 8 	 16
134 	 -368.2266540527344 	 1605014772.299447 	 1 	 6 	 9 	 6
135 	 -322.8506774902344 	 1605014772.3042428 	 1 	 5 	 10 	 6
136 	 -379.5461730957031 	 1605014772.3090181 	 1 	 3 	 12 	 8
137 	 -433.7033996582031 	 1605014772.313665 	 1 	 4 	 11 	 12
138 	 -341.6242980957031 	 1605014772.318248 	 1 	 4 	 11 	 6
139 	 -422.4488830566406 	 1605014772.323785 	 1 	 2 	 13 	 8
140 	 -335.0382080078125 	 1605014772.329418 	 1 	 4 	 11 	 4
141 	 -478.8775634765625 	 1605014772.334346 	 1 	 3 	 12 	 12
142 	 -386.6680908203125 	 1605014772.339245 	 1 	 4 	 11 	 8
143 	 -451.9638977050781 	 1605014772.344241 	 1 	 4 	 11 	 12
144 	 -364.1699523925781 	 1605014772.349031 	 1 	 2 	 13 	 4
145 	 -362.0689392089844 	 1605014772.35393 	 1 	 6 	 9 	 10
146 	 -409.14398193359375 	 1605014772.3590379 	 1 	 4 	 11 	 8
147 	 -435.288330078125 	 1605014772.364276 	 1 	 0 	 15 	 6
148 	 -369.579345703125 	 1605014772.369687 	 1 	 2 	 13 	 4
149 	 -392.74530029296875 	 1605014772.374371 	 1 	 3 	 12 	 6
150 	 -436.44110107421875 	 1605014772.379478 	 1 	 1 	 14 	 6
151 	 -378.44989013671875 	 1605014772.38413 	 1 	 3 	 12 	 6
152 	 -370.93658447265625 	 1605014772.3888361 	 1 	 3 	 12 	 4
153 	 -389.2615661621094 	 1605014772.393775 	 1 	 4 	 11 	 8
154 	 -373.19134521484375 	 1605014772.3984058 	 1 	 3 	 12 	 6
155 	 -395.6990051269531 	 1605014772.4031181 	 1 	 3 	 12 	 8
156 	 -418.2337951660156 	 1605014772.407941 	 1 	 3 	 12 	 8
157 	 -335.09588623046875 	 1605014772.412734 	 1 	 4 	 11 	 4
158 	 -392.5279235839844 	 1605014772.4173188 	 1 	 3 	 12 	 6
159 	 -356.59906005859375 	 1605014772.421878 	 1 	 4 	 11 	 6
160 	 -450.4322814941406 	 1605014772.426705 	 1 	 2 	 13 	 6
161 	 -457.0535583496094 	 1605014772.431435 	 1 	 2 	 13 	 10
162 	 -424.92474365234375 	 1605014772.436071 	 1 	 3 	 12 	 6
163 	 -416.02923583984375 	 1605014772.440744 	 1 	 4 	 11 	 8
164 	 -436.60980224609375 	 1605014772.445629 	 1 	 1 	 14 	 6
165 	 -452.5390625 	 1605014772.450685 	 1 	 1 	 14 	 6
166 	 -392.6679382324219 	 1605014772.455343 	 1 	 4 	 11 	 8
167 	 -451.939208984375 	 1605014772.460574 	 1 	 6 	 9 	 12
168 	 -436.47845458984375 	 1605014772.465488 	 1 	 2 	 13 	 6
169 	 -326.5258483886719 	 1605014772.470272 	 1 	 4 	 11 	 4
170 	 -392.5174255371094 	 1605014772.475269 	 1 	 6 	 9 	 8
171 	 -369.5686950683594 	 1605014772.480147 	 1 	 5 	 10 	 6
172 	 -360.343994140625 	 1605014772.485114 	 1 	 6 	 9 	 8
173 	 -398.01849365234375 	 1605014772.489815 	 1 	 4 	 11 	 8
174 	 -364.8934326171875 	 1605014772.4946811 	 1 	 3 	 12 	 6
175 	 -454.5608825683594 	 1605014772.499396 	 1 	 3 	 12 	 10
176 	 -263.6528015136719 	 1605014772.504097 	 1 	 5 	 10 	 2
177 	 -416.74078369140625 	 1605014772.508919 	 1 	 2 	 13 	 8
178 	 -407.6068115234375 	 1605014772.513726 	 1 	 2 	 13 	 6
179 	 -352.2848815917969 	 1605014772.518429 	 1 	 4 	 11 	 6
180 	 -427.77239990234375 	 1605014772.524065 	 1 	 4 	 11 	 10
181 	 -444.8673400878906 	 1605014772.529344 	 1 	 0 	 15 	 4
182 	 -409.78350830078125 	 1605014772.53404 	 1 	 1 	 14 	 6
183 	 -323.9402160644531 	 1605014772.540689 	 1 	 7 	 8 	 8
184 	 -316.1806335449219 	 1605014772.546481 	 1 	 4 	 11 	 4
185 	 -495.4574279785156 	 1605014772.55335 	 1 	 3 	 12 	 12
186 	 -316.35699462890625 	 1605014772.561315 	 1 	 5 	 10 	 4
187 	 -371.96429443359375 	 1605014772.5666611 	 1 	 2 	 13 	 4
188 	 -384.4287109375 	 1605014772.574312 	 1 	 3 	 12 	 6
189 	 -458.1145935058594 	 1605014772.5802839 	 1 	 2 	 13 	 8
190 	 -380.73553466796875 	 1605014772.584979 	 1 	 3 	 12 	 6
191 	 -384.2795715332031 	 1605014772.5903628 	 1 	 5 	 10 	 8
192 	 -416.61431884765625 	 1605014772.59531 	 1 	 2 	 13 	 6
193 	 -404.4310302734375 	 1605014772.600578 	 1 	 1 	 14 	 4
194 	 -293.22821044921875 	 1605014772.605367 	 1 	 4 	 11 	 2
195 	 -448.6727294921875 	 1605014772.610296 	 1 	 1 	 14 	 8
196 	 -373.8168029785156 	 1605014772.614976 	 1 	 2 	 13 	 4
197 	 -325.8395690917969 	 1605014772.619927 	 1 	 4 	 11 	 4
198 	 -366.0489807128906 	 1605014772.625803 	 1 	 4 	 11 	 6
199 	 -324.4480285644531 	 1605014772.632514 	 1 	 5 	 10 	 4
200 	 -412.5035095214844 	 1605014772.637156 	 1 	 4 	 11 	 8
201 	 -401.7912902832031 	 1605014772.6416798 	 1 	 4 	 11 	 6
202 	 -372.8201599121094 	 1605014772.646185 	 1 	 3 	 12 	 6
203 	 -376.9913330078125 	 1605014772.650699 	 1 	 2 	 13 	 4
204 	 -374.1741027832031 	 1605014772.655221 	 1 	 2 	 13 	 4
205 	 -370.1944885253906 	 1605014772.660257 	 1 	 4 	 11 	 6
206 	 -469.81536865234375 	 1605014772.664717 	 1 	 3 	 12 	 10
207 	 -361.748291015625 	 1605014772.669299 	 1 	 3 	 12 	 4
208 	 -386.2690124511719 	 1605014772.6739898 	 1 	 3 	 12 	 6
209 	 -326.15777587890625 	 1605014772.678561 	 1 	 5 	 10 	 4
210 	 -451.06085205078125 	 1605014772.683152 	 1 	 3 	 12 	 8
211 	 -359.0202941894531 	 1605014772.687694 	 1 	 2 	 13 	 4
212 	 -395.4058532714844 	 1605014772.693096 	 1 	 1 	 14 	 4
213 	 -367.4839172363281 	 1605014772.6979 	 1 	 4 	 11 	 6
214 	 -278.22442626953125 	 1605014772.7025301 	 1 	 6 	 9 	 4
215 	 -388.81683349609375 	 1605014772.7070332 	 1 	 2 	 13 	 4
216 	 -373.872314453125 	 1605014772.711573 	 1 	 4 	 11 	 6
217 	 -342.8598327636719 	 1605014772.716038 	 1 	 4 	 11 	 4
218 	 -379.4032287597656 	 1605014772.720764 	 1 	 3 	 12 	 6
219 	 -274.39599609375 	 1605014772.72557 	 1 	 3 	 12 	 0
220 	 -384.3894348144531 	 1605014772.730216 	 1 	 1 	 14 	 4
221 	 -392.20166015625 	 1605014772.7349162 	 1 	 2 	 13 	 4
222 	 -442.15411376953125 	 1605014772.739478 	 1 	 5 	 10 	 12
223 	 -331.6689758300781 	 1605014772.7440798 	 1 	 2 	 13 	 2
224 	 -266.486083984375 	 1605014772.748538 	 1 	 3 	 12 	 0
225 	 -361.8260192871094 	 1605014772.753021 	 1 	 4 	 11 	 6
226 	 -330.3766174316406 	 1605014772.757557 	 1 	 5 	 10 	 6
227 	 -316.8939208984375 	 1605014772.762423 	 1 	 6 	 9 	 6
228 	 -450.64776611328125 	 1605014772.766974 	 1 	 3 	 12 	 8
229 	 -460.75018310546875 	 1605014772.771442 	 1 	 8 	 7 	 14
230 	 -442.92144775390625 	 1605014772.776174 	 1 	 1 	 14 	 6
231 	 -399.623779296875 	 1605014772.7807019 	 1 	 3 	 12 	 6
232 	 -333.2699279785156 	 1605014772.785213 	 1 	 6 	 9 	 6
233 	 -297.10595703125 	 1605014772.7898 	 1 	 5 	 10 	 4
234 	 -370.3698425292969 	 1605014772.7943628 	 1 	 4 	 11 	 6
235 	 -435.0208435058594 	 1605014772.798951 	 1 	 4 	 11 	 10
236 	 -367.16729736328125 	 1605014772.803484 	 1 	 3 	 12 	 6
237 	 -280.67218017578125 	 1605014772.80796 	 1 	 5 	 10 	 4
238 	 -355.693359375 	 1605014772.812416 	 1 	 3 	 12 	 4
239 	 -356.1848449707031 	 1605014772.816843 	 1 	 2 	 13 	 4
240 	 -306.3067932128906 	 1605014772.821263 	 1 	 3 	 12 	 2
241 	 -441.9572448730469 	 1605014772.826889 	 1 	 2 	 13 	 8
242 	 -372.2759704589844 	 1605014772.831669 	 1 	 1 	 14 	 4
243 	 -361.4537048339844 	 1605014772.836092 	 1 	 4 	 11 	 6
244 	 -300.90948486328125 	 1605014772.8405252 	 1 	 3 	 12 	 2
245 	 -454.0240173339844 	 1605014772.845172 	 1 	 5 	 10 	 10
246 	 -365.9034729003906 	 1605014772.8496408 	 1 	 3 	 12 	 6
247 	 -407.87884521484375 	 1605014772.85418 	 1 	 1 	 14 	 4
248 	 -374.5684814453125 	 1605014772.85869 	 1 	 4 	 11 	 6
249 	 -401.7999267578125 	 1605014772.863348 	 1 	 3 	 12 	 6
250 	 -376.11517333984375 	 1605014772.8678038 	 1 	 4 	 11 	 6
251 	 -388.8941955566406 	 1605014772.872334 	 1 	 5 	 10 	 8
252 	 -352.6466064453125 	 1605014772.876949 	 1 	 2 	 13 	 4
253 	 -392.31732177734375 	 1605014772.881731 	 1 	 5 	 10 	 10
254 	 -206.36656188964844 	 1605014772.886254 	 1 	 6 	 9 	 0
255 	 -401.57379150390625 	 1605014772.890715 	 1 	 3 	 12 	 6
256 	 -306.4311218261719 	 1605014772.89556 	 1 	 3 	 12 	 2
